AptamerId,SeqId,Type,Target,SomaId,TargetFullName,UniProt,IsIn1310Panel,IsIn1129Panel,note,PlasmaDilution,SerumDilution
3875-62,3875-62_1,Protein,ARI3A,SL011549,AT-rich interactive domain-containing protein 3A,Q99856,1,1,common,40,40
4962-52,4962-52_1,Protein,ARMEL,SL012538,Cerebral dopamine neurotrophic factor,Q49AH0,1,1,common,40,40
4963-19,4963-19_1,Protein,ARP19,SL011708,cAMP-regulated phosphoprotein 19,P56211,1,1,common,40,40
3172-28,3172-28_2,Protein,ARSB,SL008956,Arylsulfatase B,P15848,1,1,common,40,1
2813-11,2813-11_2,Protein,ART,SL006924,Agouti-related protein,O00253,1,1,common,40,40
4964-67,4964-67_1,Protein,ARTS1,SL007729,Endoplasmic reticulum aminopeptidase 1,Q9NZ08,1,1,common,40,40
3212-30,3212-30_3,Protein,ASAH2,SL010375,Neutral ceramidase,Q9NR71,1,1,common,40,40
3173-49,3173-49_2,Protein,ASAHL,SL008611,N-acylethanolamine-hydrolyzing acid amidase,Q02083,1,1,common,40,40
4771-10,4771-10_3,Protein,ASM3A,SL012754,Acid sphingomyelinase-like phosphodiesterase 3a,Q92484,1,1,common,1,1
4965-27,4965-27_1,Protein,ATP synthase beta chain,SL005675,"ATP synthase subunit beta, mitochondrial",P06576,1,1,common,40,40
3174-2,3174-2_1,Protein,ATS1,SL008421,A disintegrin and metalloproteinase with thrombospondin motifs 1,Q9UHI8,1,1,common,40,40
3175-51,3175-51_5,Protein,ATS13,SL006610,A disintegrin and metalloproteinase with thrombospondin motifs 13,Q76LX8,1,1,common,1,1
4533-76,4533-76_2,Protein,ATS15,SL012740,A disintegrin and metalloproteinase with thrombospondin motifs 15,Q8TE58,1,1,common,40,40
3346-72,3346-72_2,Protein,AURKB,SL010520,Aurora kinase B,Q96GD4,1,1,common,40,40
3758-68,3758-68_3,Protein,Activated Protein C,SL003974,Activated Protein C,P04070,1,1,common,40,1
2748-3,2748-3_2,Protein,Activin A,SL001938,Inhibin beta A chain,P08476,1,1,common,40,40
2806-49,2806-49_2,Protein,Activin RIB,SL004128,Activin receptor type-1B,P36896,1,1,common,40,40
3554-24,3554-24_1,Protein,Adiponectin,SL004258,Adiponectin,Q15848,1,1,common,0.005,0.005
4763-31,4763-31_3,Protein,Afamin,SL004742,Afamin,P43652,1,1,common,0.005,0.005
4188-1,4188-1_2,Protein,Aflatoxin B1 aldehyde reductase,SL003658,Aflatoxin B1 aldehyde reductase member 2,O43488,1,1,common,1,40
3280-49,3280-49_2,Protein,Aggrecan,SL004661,Aggrecan core protein,P16112,1,1,common,40,40
3707-12,3707-12_2,Protein,Albumin,SL000254,Serum albumin,P02768,1,1,common,0.005,0.005
2795-23,2795-23_3,Protein,"Alkaline phosphatase, bone",SL002077,"Alkaline phosphatase, tissue-nonspecific isozyme",P05186,1,1,common,1,0.005
3343-1,3343-1_4,Protein,Aminoacylase-1,SL005574,Aminoacylase-1,Q03154,1,1,common,1,1
4874-3,4874-3_1,Protein,Angiogenin,SL000003,Angiogenin,P03950,1,1,common,0.005,0.005
2811-27,2811-27_1,Protein,Angiopoietin-1,SL001995,Angiopoietin-1,Q15389,1,1,common,1,1
2602-2,2602-2_2,Protein,Angiopoietin-2,SL001996,Angiopoietin-2,O15123,1,1,common,1,1
2500-2,2500-2_3,Protein,Angiopoietin-4,SL004643,Angiopoietin-4,Q9Y264,1,1,common,40,40
3710-49,3710-49_2,Protein,Angiostatin,SL000268,Angiostatin,P00747,1,1,common,1,1
3484-60,3484-60_2,Protein,Angiotensinogen,SL000271,Angiotensinogen,P01019,1,1,common,0.005,0.005
3344-60,3344-60_4,Protein,Antithrombin III,SL000272,Antithrombin-III,P01008,1,1,common,0.005,0.005
2750-3,2750-3_2,Protein,Apo A-I,SL000019,Apolipoprotein A-I,P02647,1,1,common,0.005,0.005
2797-56,2797-56_2,Protein,Apo B,SL000020,Apolipoprotein B,P04114,1,1,common,40,40
4712-28,4712-28_2,Protein,Apo D,SL005361,Apolipoprotein D,P05090,1,1,common,1,1
2418-55,2418-55_9,Protein,Apo E,SL000276,Apolipoprotein E,P02649,1,1,common,0.005,0.005
5312-49,5312-49_3,Protein,Apo E2,SL000277,Apolipoprotein E (isoform E2),P02649,1,1,common,0.005,0.005
2937-10,2937-10_2,Protein,Apo E3,SL004668,Apolipoprotein E (isoform E3),P02649,1,1,common,0.005,0.005
2938-55,2938-55_2,Protein,Apo E4,SL004669,Apolipoprotein E (isoform E4),P02649,1,1,common,0.005,0.005
2939-10,2939-10_2,Protein,Artemin,SL004670,Artemin,Q5T4W7,1,1,common,40,40
3091-70,3091-70_2,Protein,Aurora kinase A,SL004771,Aurora kinase A,O14965,1,1,common,40,40
2751-16,2751-16_2,Protein,Azurocidin,SL004589,Azurocidin,P20160,1,1,common,40,40
2603-61,2603-61_2,Protein,B7,SL003738,T-lymphocyte activation antigen CD80,P33681,1,1,common,40,40
5337-64,5337-64_3,Protein,B7-2,SL004131,T-lymphocyte activation antigen CD86,P42081,1,1,common,40,40
5060-62,5060-62_3,Protein,B7-H1,SL004852,Programmed cell death 1 ligand 1,Q9NZQ7,1,1,common,40,40
5061-27,5061-27_3,Protein,B7-H2,SL004853,ICOS ligand,O75144,1,1,common,1,1
3059-50,3059-50_2,Protein,BAFF,SL004327,Tumor necrosis factor ligand superfamily member 13B,Q9Y275,1,1,common,40,40
5383-14,5383-14_3,Protein,BAFF Receptor,SL004671,Tumor necrosis factor receptor superfamily member 13C,Q96RJ3,1,1,common,40,1
3347-9,3347-9_2,Protein,BARK1,SL002792,beta-adrenergic receptor kinase 1,P25098,1,1,common,40,40
3585-54,3585-54_4,Protein,BASI,SL009341,Basigin,P35613,1,1,common,1,1
2816-50,2816-50_2,Protein,BCAM,SL001902,Basal Cell Adhesion Molecule,P50895,1,1,common,40,40
5262-57,5262-57_3,Protein,BCAR3,SL014470,Breast cancer anti-estrogen resistance protein 3,O75815,1,1,common,40,1
4423-77,4423-77_2,Protein,BCL2-like 1 protein,SL003674,Bcl-2-like protein 1,Q07817,1,1,common,40,40
2665-26,2665-26_2,Protein,BCMA,SL004672,Tumor necrosis factor receptor superfamily member 17,Q02223,1,1,common,1,1
2421-7,2421-7_3,Protein,BDNF,SL003951,Brain-derived neurotrophic factor,P23560,1,1,common,40,1
3413-50,3413-50_2,Protein,BFL1,SL003703,Bcl-2-related protein A1,Q16548,1,1,common,1,1
3283-21,3283-21_1,Protein,BGH3,SL006544,Transforming growth factor-beta-induced protein ig-h3,Q15582,1,1,common,1,1
3284-75,3284-75_1,Protein,BGN,SL007804,Biglycan,P21810,1,1,common,40,40
3487-32,3487-32_2,Protein,BLC,SL003167,C-X-C motif chemokine 13,O43927,1,1,common,40,40
4862-63,4862-63_1,Protein,BMP RII,SL004133,Bone morphogenetic protein receptor type-2,Q13873,1,1,common,40,40
3348-49,3348-49_2,Protein,BMP-1,SL003994,Bone morphogenetic protein 1,P13497,1,1,common,1,1
2752-62,2752-62_2,Protein,BMP-14,SL004329,Growth/differentiation factor 5,P43026,1,1,common,40,40
2972-57,2972-57_2,Protein,BMP-7,SL004078,Bone morphogenetic protein 7,P18075,1,1,common,40,40
3654-27,3654-27_4,Protein,BMPER,SL007531,BMP-binding endothelial regulator protein,Q8N8U9,1,1,common,40,40
4859-6,4859-6_1,Protein,BMPR1A,SL004080,Bone morphogenetic protein receptor type-1A,P36894,1,1,common,40,40
3414-40,3414-40_2,Protein,BMX,SL006374,Cytoplasmic tyrosine-protein kinase BMX,P51813,1,1,common,40,40
3723-1,3723-1_2,Protein,BNP-32,SL000306,Brain natriuretic peptide 32,P16860,1,1,common,40,40
4328-2,4328-2_2,Protein,BOC,SL013490,Brother of CDO,Q9BWV1,1,1,common,40,40
4126-22,4126-22_1,Protein,BPI,SL004511,Bactericidal permeability-increasing protein,P17213,1,1,common,1,1
5384-67,5384-67_3,Protein,BRF-1,SL016130,Transcription factor IIIB 90 kDa subunit,Q92994,1,1,common,40,40
3415-61,3415-61_2,Protein,BSP,SL004660,Bone sialoprotein 2,P21815,1,1,common,40,40
4534-10,4534-10_2,Protein,BSSP4,SL012822,Brain-specific serine protease 4,Q9GZN4,1,1,common,40,40
4535-50,4535-50_2,Protein,BST1,SL008644,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Q10588,1,1,common,40,40
3416-2,3416-2_2,Protein,BTK,SL010521,Tyrosine-protein kinase BTK,Q06187,1,1,common,1,1
3412-7,3412-7_1,Protein,Bcl-2,SL000104,Apoptosis regulator Bcl-2,P10415,1,1,common,40,40
2666-53,2666-53_2,Protein,Bone proteoglycan II,SL004081,Decorin,P07585,1,1,common,40,40
4479-14,4479-14_2,Protein,C1-Esterase Inhibitor,SL000308,Plasma protease C1 inhibitor,P05155,1,1,common,1,1
4967-1,4967-1_1,Protein,C1QBP,SL008177,"Complement component 1 Q subcomponent-binding protein, mitochondrial",Q07021,1,1,common,1,1
2753-2,2753-2_2,Protein,C1q,SL000309,Complement C1q subcomponent,P02745  P02746  P02747,1,1,common,0.005,0.005
3285-23,3285-23_2,Protein,C1r,SL000310,Complement C1r subcomponent,P00736,1,1,common,0.005,0.005
3590-8,3590-8_3,Protein,C1s,SL000311,Complement C1s subcomponent,P09871,1,1,common,0.005,0.005
3186-2,3186-2_2,Protein,C2,SL002525,Complement C2,P06681,1,1,common,0.005,0.005
2754-50,2754-50_2,Protein,C3,SL000312,Complement C3,P01024,1,1,common,0.005,0.005
4792-51,4792-51_2,Protein,C34 gp41 HIV Fragment,SL016148,"gp41 C34 peptide, HIV",Q70626,1,1,common,40,40
4900-8,4900-8_1,Protein,C3a,SL000313,C3a anaphylatoxin,P01024,1,1,common,0.005,0.005
2755-8,2755-8_2,Protein,C3adesArg,SL003220,C3a anaphylatoxin des Arginine,P01024,1,1,common,0.005,0.005
4480-59,4480-59_2,Protein,C3b,SL000314,Complement C3b,P01024,1,1,common,40,40
4481-34,4481-34_2,Protein,C4,SL000316,Complement C4,"P0C0L4, P0C0L5",1,1,common,0.005,0.005
2182-54,2182-54_1,Protein,C4b,SL000318,Complement C4b,P0C0L4  P0C0L5,1,1,common,0.005,0.005
2381-52,2381-52_4,Protein,C5,SL000319,Complement C5,P01031,1,1,common,0.005,0.005
2851-63,2851-63_3,Protein,C5a,SL000320,C5a anaphylatoxin,P01031,1,1,common,1,1
4482-66,4482-66_2,Protein,"C5b, 6 Complex",SL000321,Complement C5b-C6 complex,"P01031,P13671",1,1,common,0.005,0.005
4127-75,4127-75_1,Protein,C6,SL000322,Complement component C6,P13671,1,1,common,0.005,0.005
2888-49,2888-49_2,Protein,C7,SL000323,Complement component C7,P10643,1,1,common,0.005,0.005
2429-27,2429-27_4,Protein,C8,SL000324,Complement component C8,"P07357,P07358,P07360",1,1,common,40,40
3060-43,3060-43_2,Protein,C9,SL000325,Complement component C9,P02748,1,1,common,0.005,0.005
5410-53,5410-53_3,Protein,CAD15,SL007295,Cadherin-15,P55291,1,1,common,40,1
3592-4,3592-4_3,Protein,CAMK1,SL010489,Calcium/calmodulin-dependent protein kinase type 1,Q14012,1,1,common,1,1
3418-12,3418-12_2,Protein,CAMK1D,SL010490,Calcium/calmodulin-dependent protein kinase type 1D,Q8IU85,1,1,common,40,1
3350-53,3350-53_2,Protein,CAMK2A,SL010491,Calcium/calmodulin-dependent protein kinase type II subunit alpha,Q9UQM7,1,1,common,40,40
3351-1,3351-1_1,Protein,CAMK2B,SL010492,Calcium/calmodulin-dependent protein kinase type II subunit beta,Q13554,1,1,common,40,40
3419-49,3419-49_2,Protein,CAMK2D,SL010493,Calcium/calmodulin-dependent protein kinase type II subunit delta,Q13557,1,1,common,40,40
4968-50,4968-50_1,Protein,CAPG,SL008099,Macrophage-capping protein,P40121,1,1,common,40,40
3178-5,3178-5_2,Protein,CATC,SL007280,Dipeptidyl peptidase 1,P53634,1,1,common,40,40
3594-6,3594-6_5,Protein,CATE,SL007121,Cathepsin E,P14091,1,1,common,40,40
4971-1,4971-1_1,Protein,CATZ,SL008380,Cathepsin Z,Q9UBR2,1,1,common,1,1
4785-30,4785-30_3,Protein,CBG,SL000347,Corticosteroid-binding globulin,P08185,1,1,common,40,40
5343-74,5343-74_3,Protein,CBPE,SL008703,Carboxypeptidase E,P16870,1,1,common,40,40
4540-11,4540-11_2,Protein,CBX5,SL009768,Chromobox protein homolog 5,P45973,1,1,common,40,40
2890-59,2890-59_2,Protein,CCL28,SL003303,C-C motif chemokine 28,Q9NRJ3,1,1,common,40,40
3290-50,3290-50_2,Protein,CD109,SL008773,CD109 antigen,Q6YHK3,1,1,common,40,40
2891-1,2891-1_3,Protein,CD22,SL004330,B-cell receptor CD22,P20273,1,1,common,40,40
5062-60,5062-60_3,Protein,CD226,SL011100,CD226 antigen,Q15762,1,1,common,40,40
3291-30,3291-30_2,Protein,CD23,SL002706,Low affinity immunoglobulin epsilon Fc receptor,P06734,1,1,common,1,1
5412-53,5412-53_3,Protein,CD27,SL004134,CD27 antigen,P26842,1,1,common,0.005,0.005
2605-49,2605-49_2,Protein,CD30,SL004180,Tumor necrosis factor receptor superfamily member 8,P28908,1,1,common,40,40
3421-54,3421-54_2,Protein,CD30 Ligand,SL004635,Tumor necrosis factor ligand superfamily member 8,P32971,1,1,common,40,40
2973-15,2973-15_2,Protein,CD36 ANTIGEN,SL000668,Platelet glycoprotein 4,P16671,1,1,common,40,40
3182-38,3182-38_2,Protein,CD39,SL010371,Ectonucleoside triphosphate diphosphohydrolase 1,P49961,1,1,common,40,1
3534-14,3534-14_2,Protein,"CD40 ligand, soluble",SL003862,CD40 ligand,P29965,1,1,common,40,40
3292-75,3292-75_1,Protein,CD48,SL010450,CD48 antigen,P09326,1,1,common,1,1
3293-2,3293-2_4,Protein,CD5L,SL006108,CD5 antigen-like,O43866,1,1,common,0.005,0.005
2822-56,2822-56_2,Protein,CD97,SL004726,CD97 antigen,P48960,1,1,common,40,40
3879-50,3879-50_1,Protein,CDC37,SL011232,Hsp90 co-chaperone Cdc37,Q16543,1,1,common,40,40
3422-4,3422-4_2,Protein,CDK1/cyclin B,SL010494,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex,P06493 P14635,1,1,common,40,40
3357-67,3357-67_2,Protein,CDK2/cyclin A,SL010495,Cyclin-dependent kinase 2:Cyclin-A2 complex,P24941 P20248,1,1,common,40,40
3358-51,3358-51_2,Protein,CDK5/p35,SL010496,Cyclin-dependent kinase 5:Cyclin-dependent kinase 5 activator 1 complex,Q00535 Q15078,1,1,common,40,40
3359-11,3359-11_2,Protein,CDK8/cyclin C,SL010522,Cyclin-dependent kinase 8:Cyclin-C complex,P49336 P24863,1,1,common,40,40
4541-49,4541-49_2,Protein,CDON,SL014092,Cell adhesion molecule-related/down-regulated by oncogenes,Q4KMG0,1,1,common,1,1
3294-55,3294-55_2,Protein,CFC1,SL010451,Cryptic protein,P0CG37,1,1,common,40,40
2853-68,2853-68_2,Protein,CHK1,SL006911,Serine/threonine-protein kinase Chk1,O14757,1,1,common,40,40
3601-54,3601-54_3,Protein,CHL1,SL008936,Neural cell adhesion molecule L1-like protein,O00533,1,1,common,1,1
4428-1,4428-1_2,Protein,CHST2,SL013988,Carbohydrate sulfotransferase 2,Q9Y4C5,1,1,common,40,40
4429-51,4429-51_2,Protein,CHST6,SL014130,Carbohydrate sulfotransferase 6,Q9GZX3,1,1,common,40,40
3800-71,3800-71_2,Protein,CK-BB,SL000377,Creatine kinase B-type,P12277,1,1,common,40,40
3714-49,3714-49_2,Protein,CK-MB,SL000382,Creatine kinase M-type:Creatine kinase B-type heterodimer,P12277 P06732,1,1,common,1,1
2670-67,2670-67_4,Protein,CK-MM,SL000383,Creatine kinase M-type,P06732,1,1,common,1,1
5225-50,5225-50_3,Protein,CK2-A1:B,SL016550,Casein kinase II 2-alpha:2-beta heterotetramer,P68400 P67870,1,1,common,40,40
5226-36,5226-36_3,Protein,CK2-A2:B,SL016551,Casein kinase II 2-alpha':2-beta heterotetramer,P19784 P67870,1,1,common,40,40
5345-51,5345-51_3,Protein,CKAP2,SL006675,Cytoskeleton-associated protein 2,Q8WWK9,1,1,common,40,40
4332-6,4332-6_2,Protein,CLC1B,SL013488,C-type lectin domain family 1 member B,Q9P126,1,1,common,40,1
3361-26,3361-26_2,Protein,CLC4K,SL010610,C-type lectin domain family 4 member K,Q9UJ71,1,1,common,40,40
3603-60,3603-60_4,Protein,CLC7A,SL007640,C-type lectin domain family 7 member A,Q9BXN2,1,1,common,40,1
2607-54,2607-54_2,Protein,CLF-1/CLC Complex,SL004692,Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex,O75462 Q9UBD9,1,1,common,40,40
5066-134,5066-134_3,Protein,CLM6,SL014270,CMRF35-like molecule 6,Q08708,1,1,common,1,1
3489-9,3489-9_2,Protein,CNTF,SL004331,Ciliary neurotrophic factor,P26441,1,1,common,40,40
2711-6,2711-6_2,Protein,CNTFR alpha,SL005153,Ciliary neurotrophic factor receptor subunit alpha,P26992,1,1,common,40,40
3296-92,3296-92_2,Protein,CNTN2,SL008623,Contactin-2,Q02246,1,1,common,40,40
4807-13,4807-13_3,Protein,CO8A1,SL008072,Collagen alpha-1(VIII) chain,P27658,1,1,common,40,40
2823-7,2823-7_1,Protein,COMMD7,SL004704,COMM domain-containing protein 7,Q86VX2,1,1,common,40,40
4543-65,4543-65_2,Protein,CONA1,SL014048,Collagen alpha-1(XXIII) chain,Q86Y22,1,1,common,40,40
3761-4,3761-4_2,Protein,COX-2,SL000027,Prostaglandin G/H synthase 2,P35354,1,1,common,40,40
5346-24,5346-24_3,Protein,CPNE1,SL011808,Copine-1,Q99829,1,1,common,1,1
3362-61,3362-61_2,Protein,CRDL1,SL009400,Chordin-like protein 1,Q9BU40,1,1,common,1,1
3187-52,3187-52_2,Protein,CRIS3,SL007284,Cysteine-rich secretory protein 3,P54108,1,1,common,40,40
4976-57,4976-57_1,Protein,CRK,SL013240,Adapter molecule crk,P46108,1,1,common,40,40
4337-49,4337-49_2,Protein,CRP,SL000051,C-reactive protein,P02741,1,1,common,1,1
5068-54,5068-54_3,Protein,CRTAM,SL014208,Cytotoxic and regulatory T-cell molecule,O95727,1,1,common,40,40
3738-54,3738-54_1,Protein,CSF-1,SL002684,Macrophage colony-stimulating factor 1,P09603,1,1,common,40,40
3363-31,3363-31_4,Protein,CSK,SL004781,Tyrosine-protein kinase CSK,P41240,1,1,common,1,1
3427-63,3427-63_2,Protein,CSK21,SL007324,Casein kinase II subunit alpha,P68400,1,1,common,40,40
2192-63,2192-63_10,Protein,CTACK,SL003168,C-C motif chemokine 27,Q9Y4X3,1,1,common,40,40
4544-4,4544-4_3,Protein,CTAP-III,SL004708,Connective tissue-activating peptide III,P02775,1,1,common,0.005,0.005
2975-19,2975-19_2,Protein,CTGF,SL002655,Connective tissue growth factor,P29279,1,1,common,40,40
3022-4,3022-4_2,Protein,CTLA-4,SL000384,Cytotoxic T-lymphocyte protein 4,P16410,1,1,common,40,40
2436-49,2436-49_4,Protein,"CXCL16, soluble",SL004016,C-X-C motif chemokine 16,Q9H2A7,1,1,common,1,1
3803-10,3803-10_2,Protein,CYTD,SL008382,Cystatin-D,P28325,1,1,common,40,40
3302-58,3302-58_1,Protein,CYTF,SL007049,Cystatin-F,O76096,1,1,common,40,1
5459-33,5459-33_3,Protein,CYTN,SL010456,Cystatin-SN,P01037,1,1,common,1,1
4324-33,4324-33_2,Protein,CYTT,SL008516,Cystatin-SA,P09228,1,1,common,40,40
3877-67,3877-67_2,Protein,CaMKK alpha,SL004938,Calcium/calmodulin-dependent protein kinase kinase 1,Q8N5S9,1,1,common,1,1
2501-51,2501-51_3,Protein,Cadherin E,SL000055,Cadherin-1,P12830,1,1,common,1,1
3656-9,3656-9_1,Protein,Cadherin-12,SL004864,Cadherin-12,P55289,1,1,common,40,40
3797-1,3797-1_1,Protein,Cadherin-2,SL000638,Cadherin-2,P19022,1,1,common,40,40
2819-23,2819-23_2,Protein,Cadherin-5,SL002081,Cadherin-5,P33151,1,1,common,1,1
3591-51,3591-51_3,Protein,Cadherin-6,SL004865,Cadherin-6,P55285,1,1,common,1,1
4903-72,4903-72_1,Protein,Calcineurin,SL003657,Calcineurin,Q08209  P63098,1,1,common,1,1
3657-74,3657-74_3,Protein,Calcineurin B a,SL004720,Calcineurin subunit B type 1,P63098,1,1,common,1,1
2668-70,2668-70_2,Protein,Calpain I,SL000337,Calpain I,P07384 P04632,1,1,common,1,1
3026-5,3026-5_2,Protein,Calpastatin,SL000338,Calpastatin,P20810,1,1,common,1,1
3177-49,3177-49_2,Protein,Carbonic Anhydrase IV,SL010369,Carbonic anhydrase 4,P22748,1,1,common,40,40
3289-19,3289-19_2,Protein,Carbonic Anhydrase X,SL010449,Carbonic anhydrase-related protein 10,Q9NS85,1,1,common,40,40
3352-80,3352-80_3,Protein,Carbonic anhydrase 6,SL010288,Carbonic anhydrase 6,P23280,1,1,common,1,1
3798-71,3798-71_1,Protein,Carbonic anhydrase 9,SL005508,Carbonic anhydrase 9,Q16790,1,1,common,40,40
4969-2,4969-2_1,Protein,Carbonic anhydrase I,SL004866,Carbonic anhydrase 1,P00915,1,1,common,1,1
3799-11,3799-11_2,Protein,Carbonic anhydrase III,SL004867,Carbonic anhydrase 3,P07451,1,1,common,1,1
3356-50,3356-50_1,Protein,Carbonic anhydrase VII,SL004868,Carbonic anhydrase 7,P43166,1,1,common,40,40
3420-21,3420-21_2,Protein,Carbonic anhydrase XIII,SL004869,Carbonic anhydrase 13,Q8N1Q1,1,1,common,40,40
2889-37,2889-37_2,Protein,Cardiotrophin-1,SL002783,Cardiotrophin-1,Q16619,1,1,common,40,40
5340-24,5340-24_3,Protein,Caspase-10,SL003717,Caspase-10,Q92851,1,1,common,1,1
4904-7,4904-7_1,Protein,Caspase-2,SL003710,Caspase-2,P42575,1,1,common,40,40
3593-72,3593-72_3,Protein,Caspase-3,SL003711,Caspase-3,P42574,1,1,common,40,40
3488-64,3488-64_2,Protein,Catalase,SL000342,Catalase,P04040,1,1,common,1,1
3179-51,3179-51_2,Protein,Cathepsin A,SL009213,Lysosomal protective protein,P10619,1,1,common,1,1
3061-61,3061-61_2,Protein,Cathepsin B,SL000343,Cathepsin B,P07858,1,1,common,1,1
2431-17,2431-17_3,Protein,Cathepsin G,SL000345,Cathepsin G,P08311,1,1,common,40,40
3181-50,3181-50_2,Protein,Cathepsin S,SL004673,Cathepsin S,P25774,1,1,common,1,1
3364-76,3364-76_2,Protein,Cathepsin V,SL006910,Cathepsin L2,O60911,1,1,common,40,40
3600-2,3600-2_3,Protein,Chitotriosidase-1,SL006029,Chitotriosidase-1,Q13231,1,1,common,1,1
3360-50,3360-50_4,Protein,Chk2,SL003726,Serine/threonine-protein kinase Chk2,O96017,1,1,common,40,40
3423-59,3423-59_2,Protein,Chymase,SL005250,Chymase,P23946,1,1,common,40,40
3028-36,3028-36_2,Protein,Ck-b-8-1,SL003301,Ck-beta-8-1,P55773,1,1,common,40,40
4542-24,4542-24_2,Protein,Clusterin,SL001896,Clusterin,P10909,1,1,common,0.005,0.005
4905-63,4905-63_1,Protein,Coactosin-like protein,SL004814,Coactosin-like protein,Q14019,1,1,common,40,1
4876-32,4876-32_1,Protein,Coagulation Factor IX,SL000357,Coagulation factor IX,P00740,1,1,common,0.005,0.005
5307-12,5307-12_3,Protein,Coagulation Factor IXab,SL004400,Coagulation factor IXab,P00740,1,1,common,0.005,0.005
4906-35,4906-35_1,Protein,Coagulation Factor V,SL000622,Coagulation Factor V,P12259,1,1,common,0.005,0.005
3184-25,3184-25_2,Protein,Coagulation Factor VII,SL000358,Coagulation factor VII,P08709,1,1,common,0.005,0.005
4878-3,4878-3_1,Protein,Coagulation Factor X,SL000360,Coagulation Factor X,P00742,1,1,common,0.005,0.005
2190-55,2190-55_1,Protein,Coagulation Factor XI,SL002662,Coagulation Factor XI,P03951,1,1,common,0.005,0.005
3077-66,3077-66_2,Protein,Coagulation Factor Xa,SL003324,Coagulation factor Xa,P00742,1,1,common,0.005,0.005
4203-50,4203-50_2,Protein,Cofilin-1,SL004920,Cofilin-1,P23528,1,1,common,40,1
4430-44,4430-44_3,Protein,Collectin Kidney 1,SL006713,Collectin-11,Q9BWP8,1,1,common,1,1
3298-52,3298-52_2,Protein,Contactin-4,SL010454,Contactin-4,Q8IWV2,1,1,common,1,1
3299-29,3299-29_2,Protein,Contactin-5,SL010455,Contactin-5,O94779,1,1,common,40,40
5347-59,5347-59_3,Protein,Cyclin B1,SL000130,G2/mitotic-specific cyclin-B1,P14635,1,1,common,40,40
3844-2,3844-2_1,Protein,Cyclophilin A,SL004823,Peptidyl-prolyl cis-trans isomerase A,P62937,1,1,common,1,1
5248-68,5248-68_2,Protein,Cyclophilin F,SL005793,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",P30405,1,1,common,40,40
2609-59,2609-59_2,Protein,Cystatin C,SL001777,Cystatin-C,P01034,1,1,common,0.005,0.005
3303-23,3303-23_2,Protein,Cystatin M,SL004438,Cystatin-M,Q15828,1,1,common,1,1
3802-50,3802-50_1,Protein,Cystatin-S,SL007888,Cystatin-S,P01036,1,1,common,40,40
4786-58,4786-58_3,Protein,Cytidylate kinase,SL007871,UMP-CMP kinase,P30085,1,1,common,40,1
2943-5,2943-5_2,Protein,Cytochrome P450 3A4,SL000398,Cytochrome P450 3A4,P08684,1,1,common,1,0.005
2942-50,2942-50_2,Protein,Cytochrome c,SL000396,Cytochrome c,P99999,1,1,common,40,1
4907-56,4907-56_1,Protein,D-dimer,SL000022,D-dimer,P02671 P02675 P02679,1,1,common,0.005,1
5069-9,5069-9_3,Protein,DAF,SL004556,Complement decay-accelerating factor,P08174,1,1,common,1,1
2944-66,2944-66_2,Protein,DAN,SL005156,Neuroblastoma suppressor of tumorigenicity 1,P41271,1,1,common,40,40
4355-13,4355-13_1,Protein,DAPK2,SL007752,Death-associated protein kinase 2,Q9UIK4,1,1,common,40,1
4978-54,4978-54_2,Protein,DBNL,SL011628,Drebrin-like protein,Q9UJU6,1,1,common,1,1
3029-52,3029-52_2,Protein,DC-SIGN,SL005157,CD209 antigen,Q9NNX6,1,1,common,1,1
3030-3,3030-3_2,Protein,DC-SIGNR,SL005158,C-type lectin domain family 4 member M,Q9H2X3,1,1,common,1,0.005
4979-34,4979-34_2,Protein,DERM,SL008178,Dermatopontin,Q07507,1,1,common,1,1
4389-2,4389-2_1,Protein,DHH,SL007003,Desert hedgehog protein N-product,O43323,1,1,common,40,40
3535-84,3535-84_1,Protein,DKK1,SL004367,Dickkopf-related protein 1,O94907,1,1,common,40,1
3607-71,3607-71_1,Protein,DKK3,SL009412,Dickkopf-related protein 3,Q9UBP4,1,1,common,1,1
3881-49,3881-49_2,Protein,DLC8,SL003753,"Dynein light chain 1, cytoplasmic",P63167,1,1,common,40,40
5349-69,5349-69_3,Protein,DLL1,SL006970,Delta-like protein 1,O00548,1,1,common,1,1
3305-6,3305-6_1,Protein,DLL4,SL010457,Delta-like protein 4,Q9NR61,1,1,common,40,1
3845-51,3845-51_2,Protein,DLRB1,SL011530,Dynein light chain roadblock-type 1,Q9NP97,1,1,common,40,40
3608-12,3608-12_1,Protein,DPP2,SL008916,Dipeptidyl peptidase 2,Q9UHL4,1,1,common,1,1
5073-30,5073-30_2,Protein,DR3,SL004791,Tumor necrosis factor receptor superfamily member 25,Q93038,1,1,common,0.005,0.005
5404-53,5404-53_3,Protein,DR6,SL004871,Tumor necrosis factor receptor superfamily member 21,O75509,1,1,common,1,1
5249-31,5249-31_3,Protein,DRAK2,SL016566,Serine/threonine-protein kinase 17B,O94768,1,1,common,40,1
